"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";
"2";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"J1, J2";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"";"HEADER-1X12";"1X12_ROUND";"JP1";"";"";"";"";"";"";"";
"1";"";"HEADER-1X16ROUND";"1X16_ROUND";"JP2";"PIN HEADER";"";"";"";"";"";"";
"1";"";"RESISTOR_0603MP";"_0603MP";"R11";"Resistors";"";"";"";"";"";"";
"1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"S1";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"SWCH-10651";"COM-10860";
"5";"0.1uF";"CAP_CERAMIC_0603MP";"_0603MP";"C1, C2, C3, C5, C15";"Ceramic Capacitors";"";"";"";"";"";"";
"1";"1.0uF";"CAP_CERAMIC_0603MP";"_0603MP";"C13";"Ceramic Capacitors";"";"";"";"";"";"";
"1";"1.5k";"RESISTOR_0603MP";"_0603MP";"R12";"Resistors";"";"";"";"";"";"";
"4";"100k";"RESISTOR_0603MP";"_0603MP";"R1, R5, R6, R15";"Resistors";"";"";"";"";"";"";
"1";"100pF";"CAP_CERAMIC_0603MP";"_0603MP";"C14";"Ceramic Capacitors";"";"";"";"";"";"";
"2";"10K";"RESISTOR_0603MP";"_0603MP";"R3, R4";"Resistors";"";"";"";"";"";"";
"2";"10k";"RESISTOR_0603MP";"_0603MP";"R13, R14";"Resistors";"";"";"";"";"";"";
"3";"10uF";"CAP_CERAMIC_0603MP";"_0603MP";"C8, C9, C11";"Ceramic Capacitors";"";"";"";"";"";"";
"2";"10ÂµF";"CAP_CERAMIC_0603MP";"_0603MP";"C4, C7";"Ceramic Capacitors";"";"";"";"";"";"";
"1";"12XFFC";"12XFFC";"15166-0117";"CON1";"";"";"";"";"";"";"";
"5";"1K";"RESISTOR_0603MP";"_0603MP";"R2, R7, R8, R9, R10";"Resistors";"";"";"";"";"";"";
"2";"1uF";"CAP_CERAMIC_0603MP";"_0603MP";"C6, C10";"Ceramic Capacitors";"";"";"";"";"";"";
"1";"20329";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"X1";"USB Connectors";"";"";"";"";"";"";
"1";"4.7uF";"CAP_CERAMIC_0603MP";"_0603MP";"C12";"Ceramic Capacitors";"";"";"";"";"";"";
"1";"ADMP401";"ADMP401";"ADMP401";"U4";"MEMS Microphone";"";"";"";"";"";"";
"1";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"U2";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";
"1";"ATMEGA328P";"MEGA8-MI";"MLF32-TH";"IC1";"MICROCONTROLLER";"";"ATMEGA88PA-MU";"1715491";"15R0272";"";"";
"1";"CP2104";"CP2104";"QFN24_4MM_SMSC";"U3";"CP2104 - USB to UART Bridge";"";"";"";"";"";"";
"1";"CSTCE16M0V53-R0 8MHZ";"RESONATORMU";"RESONATOR";"Y1";"";"";"";"";"";"";"";
"1";"DMG341";"MOSFET-P";"SOT23-R";"Q1";"P-Channel Mosfet";"";"";"";"";"";"";
"1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SW1";"SMT Tact Switches";"";"";"";"";"";"";
"1";"MBR120";"DIODE-SCHOTTKYSOD-523";"SOD-523";"D2";"";"";"";"";"";"";"";
"1";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"U1";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";
"1";"OPA344";"OPA344";"SOT23-5";"U5";"";"";"";"";"";"";"";
"1";"ORANGE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"D1";"LED";"";"";"";"";"";"";
"1";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"D3";"LED";"";"";"";"";"";"";
"2";"YELLOW";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"D4, D5";"LED";"";"";"";"";"";"";
